Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/30/2006,21042874,0,88,88000000
12/27/2006,16797938,0,75,75000000
12/23/2006,19896464,0,65,65000000
12/20/2006,16030352,0,53,53000000
12/16/2006,16675842,0,43,43000000
12/13/2006,14393328,0,33,33000000
12/09/2006,15111137,0,25,25000000
12/06/2006,13607025,0,20,20000000
12/02/2006,14541395,0,15,15000000
11/29/2006,17185603,0,74,74000000
11/25/2006,16888855,0,64,64000000
11/22/2006,16664564,0,54,54000000
11/18/2006,16839213,0,45,45000000
11/15/2006,14607660,0,35,35000000
11/11/2006,15829785,0,27,27000000
11/08/2006,13814636,0,20,20000000
11/04/2006,15683298,0,15,15000000
11/01/2006,20614669,0,93,93000000
10/28/2006,20375012,0,83,83000000
10/25/2006,17704086,0,70,70000000
10/21/2006,18719206,0,59,59000000
10/18/2006,15950273,0,47,47000000
10/14/2006,17423807,0,37,37000000
10/11/2006,14931534,0,27,27000000
10/07/2006,16503747,0,20,20000000
10/04/2006,14505001,0,15,15000000
09/30/2006,16051546,0,15,15000000
09/27/2006,14573640,0,15,15000000
09/23/2006,45279344,0,203,203000000
09/20/2006,33489255,0,179,179000000
09/16/2006,31429654,0,157,157000000
09/13/2006,26782641,0,137,137000000
09/09/2006,26457501,0,119,119000000
09/06/2006,22245953,0,102,102000000
09/02/2006,22188202,0,89,89000000
08/30/2006,18474146,0,75,75000000
08/26/2006,19463662,0,64,64000000
08/23/2006,16790423,0,51,51000000
08/19/2006,17711434,0,40,40000000
08/16/2006,15107010,0,29,29000000
08/12/2006,15955499,0,20,20000000
08/09/2006,14224064,0,15,15000000
08/05/2006,47273690,0,204,204000000
08/02/2006,34721871,0,178,178000000
07/29/2006,31381607,0,155,155000000
07/26/2006,26872703,0,135,135000000
07/22/2006,25831148,0,116,116000000
07/19/2006,22536063,0,100,100000000
07/15/2006,20385102,0,86,86000000
07/12/2006,17784638,0,73,73000000
07/08/2006,18305738,0,62,62000000
07/05/2006,15130742,0,50,50000000
07/01/2006,16988238,0,40,40000000
06/28/2006,14256040,0,28,28000000
06/24/2006,15425212,0,20,20000000
06/21/2006,13950697,0,15,15000000
06/17/2006,24543216,0,100,100000000
06/14/2006,19200304,0,86,86000000
06/10/2006,19931367,0,73,73000000
06/07/2006,17495712,0,60,60000000
06/03/2006,17892300,0,48,48000000
05/31/2006,15183548,0,38,38000000
05/27/2006,14474828,0,28,28000000
05/24/2006,12820209,0,20,20000000
05/20/2006,14502749,0,15,15000000
05/17/2006,22254456,0,114,114000000
05/13/2006,22742802,0,100,100000000
05/10/2006,18007006,0,85,85000000
05/06/2006,18742528,0,73,73000000
05/03/2006,16486757,0,61,61000000
04/29/2006,16802547,0,49,49000000
04/26/2006,14545681,0,37,37000000
04/22/2006,15357235,0,28,28000000
04/19/2006,13411849,0,20,20000000
04/15/2006,15485852,0,15,15000000
04/12/2006,40614381,0,220,220000000
04/08/2006,35451827,0,195,195000000
04/05/2006,29995064,0,174,174000000
04/01/2006,29940518,0,152,152000000
03/29/2006,25646496,0,135,135000000
03/25/2006,25355220,0,117,117000000
03/22/2006,22887760,0,101,101000000
03/18/2006,22029444,0,88,88000000
03/15/2006,19103347,0,75,75000000
03/11/2006,19944698,0,62,62000000
03/08/2006,17398332,0,50,50000000
03/04/2006,18440466,0,38,38000000
03/01/2006,15644982,0,27,27000000
02/25/2006,16777423,0,20,20000000
02/22/2006,15351541,0,15,15000000
02/18/2006,161069366,0,365,365000000
02/15/2006,92537801,0,300,300000000
02/11/2006,65377755,0,250,250000000
02/08/2006,47884166,0,210,210000000
02/04/2006,39646973,0,180,180000000
02/01/2006,31813429,0,156,156000000
01/28/2006,28842967,0,135,135000000
01/25/2006,24014709,0,115,115000000
01/21/2006,24175034,0,101,101000000
01/18/2006,17773187,0,87,87000000
01/14/2006,19012144,0,76,76000000
01/11/2006,15031147,0,65,65000000
01/07/2006,15610665,0,57,57000000
01/04/2006,13299646,0,47,47000000
