DrawDate,WB1,WB2,WB3,WB4,WB5,PB,PP,Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
2017/03/15,30,16,41,48,53,16,3,2017/03/15,29851224.00,2995984.00,123.00,123000000.00
2017/03/11,57,41,50,26,1,11,2,2017/03/11,32550214.00,3344208.00,104.00,104000000.00
2017/03/08,42,23,59,46,33,4,2,2017/03/08,26936478.00,2847616.00,85.00,85000000.00
2017/03/04,2,22,63,19,18,19,3,2017/03/04,28868654.00,3154145.00,68.00,68000000.00
2017/03/01,16,10,52,40,55,17,10,2017/03/01,25012404.00,2648030.00,53.00,53000000.00
2017/02/25,6,62,32,47,65,19,2,2017/02/25,27777408.00,2910938.00,40.00,40000000.00
2017/02/22,52,10,61,28,13,2,2,2017/02/22,149905498.00,10185004.00,435.30,435300000.00
2017/02/18,9,3,33,7,31,20,3,2017/02/18,83331392.00,6274039.00,349.00,349000000.00
2017/02/15,33,5,42,38,28,19,2,2017/02/15,67509258.00,5153428.00,310.00,310000000.00
2017/02/11,37,64,17,9,5,2,2,2017/02/11,56292320.00,4652739.00,285.00,285000000.00
2017/02/08,49,20,42,14,66,5,2,2017/02/08,49916734.00,4066235.00,255.00,255000000.00
2017/02/04,52,17,16,13,6,25,3,2017/02/04,49276582.00,4201107.00,229.00,229000000.00
2017/02/01,9,60,64,43,57,10,2,2017/02/01,41339944.00,3529639.00,206.00,206000000.00
2017/01/28,39,12,49,69,20,17,2,2017/01/28,37642712.00,3484916.00,187.00,187000000.00
2017/01/25,18,62,66,68,28,22,2,2017/01/25,31178460.00,2962730.00,170.00,170000000.00
2017/01/21,45,25,23,67,52,2,2,2017/01/21,33115134.00,3238280.00,153.00,153000000.00
2017/01/18,41,9,58,40,53,12,2,2017/01/18,28308190.00,2800057.00,135.00,135000000.00
2017/01/14,55,69,23,64,59,13,5,2017/01/14,31820822.00,3175470.00,121.00,121000000.00
2017/01/11,1,16,13,43,3,24,2,2017/01/11,26361692.00,2645418.00,106.00,106000000.00
2017/01/07,37,63,12,24,3,10,2,2017/01/07,26368706.00,2702423.00,94.00,94000000.00
2017/01/04,17,16,42,41,29,4,3,2017/01/04,23867632.00,2473928.00,80.00,80000000.00
2016/12/31,1,28,3,67,57,9,2,2016/12/31,32118732.00,3258262.00,70.00,70000000.00
2016/12/28,30,23,44,58,16,4,2,2016/12/28,22553992.00,2370877.00,60.00,60000000.00
2016/12/24,38,52,42,51,28,21,2,2016/12/24,30022848.00,3015772.00,50.00,50000000.00
2016/12/21,25,68,40,54,33,3,5,2016/12/21,22726668.00,2373591.00,40.00,40000000.00
2016/12/17,16,40,8,48,1,10,2,2016/12/17,32263346.00,3126813.00,121.60,121600000.00
2016/12/14,39,18,66,37,26,15,3,2016/12/14,29458404.00,2804505.00,100.00,100000000.00
2016/12/10,32,21,12,44,66,15,2,2016/12/10,28258756.00,2860048.00,85.00,85000000.00
